id,joke
"1","How much does a rainbow weigh?
Not much - they're pretty light!"
"2","Q: what do you do if you break your arm in two places?
A: don't go back to those places."
"3","Past, present, and future walked into a bar.... It was tense"
"4","A programmer's significant other tells him, ""While you're at the grocery store, buy some eggs."" He never comes back."
"5","Someone told me I was average earlier - that was mean"
"6","My mum said to me: ""What rhymes with orange?"" and I said... ""no it doesn't!"""
"7","A ghost walks into a bar and asks for a glass of vodka but the bar tender says, “sorry we don’t serve spirits here"""
"8","They laughed when I said I wanted to be a comedian – they’re not laughing now."
"9","My psychiatrist says I have an unhealthy obsession with revenge. We’ll see about that…"
"10","My therapist told me I have problems with verbalising my emotions. Can’t say I’m suprised"
"11","My teachers told me I’d never amount to much since I procrastinate so much. I told them, “Just you wait!”"
"12","Why do pirates not know the alphabet? They always get stuck at ""C""."
"13","What's the difference between a hippo and a zippo? One is really heavy, the other is a little lighter."
"14","I decided to sell my Hoover… well it was just collecting dust."
"15","My boss told me that she was going to fire the person with the worst posture.
I have a hunch it's going to be me"
"16","Where do you find a cow with no legs?  
Where you left it."
"17","Why are egyptian mummys scared of taking time off? They're afraid to unwind."
"18","When the programmer finally understood asymptotic notation, it was a big “Oh” moment"
"19","I was wondering why the frisbee kept looking bigger and bigger, and then it hit me"
"20","I waited all night to see where the sun would rise...and then it dawned on me"
"21","I used to hate facial hair but then it grew on me."
"22","Why do dogs race to the door when the doorbell rings? It's almost never for THEM!"
"23","I’ve been thinking about taking up meditation.
I figure it’s better than sitting around doing nothing"
"24","Why can’t you send a duck to space? Because the bill would be astronomical."
"25","The world tongue-twister champion just got arrested. I hear they’re gonna give him a really tough sentence"
"26","Knock knock. Who’s there? Déja. Déja who? Knock knock."
"27","I wanted to go on a diet, but I feel like I have way too much on my plate right now."
"28","I thought about going on an all-almond diet. But that's just nuts."
"29","What do you call a typo on a headstone? A grave mistake."
"30","My new sweater had a problem with static so I returned it. They gave me a new one free of charge."
"31","I asked the surgeon if I could administer my own anaesthetic, they said: go ahead, knock yourself out."
"32","My son is studying to be a surgeon, I just hope he makes the cut."
"33","This guy is driving to work when he gets a call from his partner: ""be very careful honey, I've been listening to the radio and they say that there's a maniac driving the wrong way on the motorway!"" and the guy says ""One maniac?! There are HUNDREDS of them!"""
"34","Why did the cowboy get a daschund?
Someone told him to get along little doggie."
"35","I once tried painting the sky ... But I blue it."
"36","Doctor, there's a new patient who says he's invisible.  
Well, tell him i can't see him right now!"
"37","Doctor, help! I'm shrinking!
Well, sorry, you'll just have to be a little patient!"
"38","What do you give sick birds? Tweetment"
"39","Why do ghosts go to the pub? For the booze."
"40","My sister bet me £10 that I couldn't build a car out of spaghetti. You should have seen the look on her face as I drove pasta."
"41","Horse walks into a bar:
several people leave recognising the inherent danger of the situation."
"42","I wish I could clean mirrors for a living.
It's just something I can see myself doing."
"43","The doctor asks the nurse about the patient who ate ten pennies. The nurse said: ""There's been no change yet""."
"44","Why do astronauts only use Mac OS and Linux? Because they can't open windows!"
"45","i lost my job at the m&m factory - i got in trouble for removing all the W's"
"46","did you hear there was a kidnapping at the school?
it's ok, he's woken up now!"
"47","I needed a password eight characters long so I picked Snow White and the Seven Dwarfs"
"48","What's red and smells like paint?
red paint"
"49","what's blue and not very heavy?
light blue"
"50","Why did Dracula lie in the wrong coffin? He made a grave mistake."
"51","The inventor of the umbrella was going to call it a brella, but he hesistated."
"52","if apple made a car what would be missing? windows!"
"53","What do sprinters eat before they race. Nothing - they fast."
"54","People are making apocalypse jokes like there’s no tomorrow"
"55","Jokes about communism are not funny unless everyone gets them."
"56","I’ve got an excellent joke about construction but I still need to work on it..."
"57","I have a good joke about UDP, but you might not get it."
"58","Did you hear the joke about the airplane?
Never mind, it's way over your head."
"59","Want to hear a chimney joke? Got stacks of em! (First one's on the house)"
"60","Do you know the secret about butter?
Never mind, I shouldn't spread it!"
"61","Did you hear about the woman who invented knock knock jokes?
She won the Nobel prize."
"62","My first time using an elevator was an uplifting experience. The second time let me down."
"63","spanish magician: i will disappear
uno dos.. he left without a tres/trace"
"64","What did the shy pebble wish for?  
That she was a little boulder."
"65","Why did the man fall down the well? Because he didn't see that well!"
"66","Someone has glued my pack of cards together - I don't know how to deal with it."
"67","I once hired a limo but when it arrived, the guy driving it walked off!
I said ""Excuse me? Are you not going to drive me?""
The guy told me that the price didn't include a driver…
… so I'd spent £400 on a limo and had nothing to chauffeur it!"
"68","I made a belt out of watches once.
It was a waist of time."
"69","To whoever stole my Microsoft Office - you're going to pay - you have my Word"
"70","To the person who stole my place in the queue. I’m after you now."
"71","A ham sandwich walks into a bar.
The barman says: sorry, you'll have to leave. We don't serve food here."
"72","A ghost walks into a bar and asks for a shot of vodka
The barman says: sorry we don't serve spirits"
"73","I took the shell off my racing snail to make it go faster, but now it's a bit sluggish."
"74","Why do seagulls fly over the sea?  
Because if they flew over the bay they'd be bagels"
"75","What kind of bagel can fly? A plain bagel"
"76","Written only: ""No matter how kind you are, german kids are kinder."""
"77","How does one train hear the other train coming?  
With its engineers (engine-ears)"
"78","Why can’t you hear a pterodactyl go to the bathroom? The p is silent."
"79","Where does the queen keep her armies?  
Up her sleevies."
"80","What is a witch's favourite subject in school? Spelling!"
"81","What has more lives than a cat?
A frog, because it croaks every night."
"82","What did one plate say to the other plate? Dinner is on me!"
"83","What lies at the bottom of the ocean and twitches? A nervous wreck."
"84","My sea sickness comes in waves."
"85","Camping is intense"
"86","How do you know if a vampire is sick?
by how much he is coffin"
"87","Why do trees seem suspicious on sunny days? Dunno, they're just a bit shady."
"88","I tried to sue the airport for misplacing my luggage
I lost my case!"
"89","Why do birds fly south for the winter? Because it's too far to walk."
"90","Why does the nurse bring a red pen to work?
In case she needs to draw blood!"
"91","Why can't your nose be 12 inches long?
Because then it would be a foot"
"92","which athlete stays the warmest in winter?
the long jumper"
"93","Why do ducks make great detectives? They always quack the case."
"94","What do you feed an invisible cat!
Evaporated milk"
"95","What's made of leather and sneezes?
A shoe! (Achoo)"
"96","Waiter, waiter, this coffee tastes like mud!
Yes sir, it's fresh ground!"
"97","What did the coffee say to the milk?
It's hard for me to espresso myself but I love you a latte!"
"98","20 dogs were stolen from a pet shop.
Police say there were no leads."
"99","How many surrealists does it take to change a lightbulb?
Two. One to hold the giraffe, the other to fill the bath with brightly coloured power-tools."
"100","How many bones are in the human hand?
A handful!"
